 migration_id |            migration_name            |          executed_at          
--------------+--------------------------------------+-------------------------------
            1 | 001_add_time_differentials.sql       | 2025-10-22 00:11:44.327028-04
            2 | 002_add_pricing_tables.sql           | 2025-10-22 00:11:44.362037-04
            3 | 003_add_data_replication.sql         | 2025-10-22 00:11:44.387385-04
            4 | 004_add_knowledge_system.sql         | 2025-10-22 00:11:44.504021-04
            5 | 005_add_algo_trading_tables.sql      | 2025-10-22 00:11:44.5319-04
            6 | 005_add_iiif_system.sql              | 2025-10-22 00:11:44.551638-04
            7 | 006_add_guardian_tables.sql          | 2025-10-22 00:11:44.565991-04
            8 | 007_add_domain_portfolio.sql         | 2025-10-22 00:11:44.596896-04
            9 | 007_add_profile_swiper.sql           | 2025-10-22 00:11:44.652618-04
           10 | 008_add_developer_system.sql         | 2025-10-22 00:11:44.697361-04
           11 | 008_add_domain_challenges.sql        | 2025-10-22 00:11:44.716934-04
           12 | 008_add_onboarding_system.sql        | 2025-10-22 00:11:44.74611-04
           13 | 009_add_domain_voting.sql            | 2025-10-22 00:11:44.770126-04
           14 | 009_add_elo_system.sql               | 2025-10-22 00:11:44.78839-04
           15 | 010_add_code_index.sql               | 2025-10-22 00:11:44.875012-04
           16 | 010_add_user_auth.sql                | 2025-10-22 00:11:44.920249-04
           17 | 011_add_admin_roles.sql              | 2025-10-22 00:11:44.924772-04
           18 | 011_add_rooms_and_credentials.sql    | 2025-10-22 00:11:44.931491-04
           19 | 011_add_skills_system.sql            | 2025-10-22 00:11:44.941317-04
           20 | 012_add_actions_effects.sql          | 2025-10-22 00:11:44.947002-04
           21 | 013_add_scheduling_verification.sql  | 2025-10-22 00:11:44.948649-04
           22 | 013_oauth_providers.sql              | 2025-10-22 00:11:44.963791-04
           23 | 014_add_elo_spam_prevention.sql      | 2025-10-22 00:11:45.012656-04
           24 | 014_add_mailer_campaigns.sql         | 2025-10-22 00:11:45.020386-04
           25 | 014_email_router.sql                 | 2025-10-22 00:11:45.029462-04
           26 | 015_add_game_leagues.sql             | 2025-10-22 00:11:45.038336-04
           27 | 015_add_user_devices.sql             | 2025-10-22 00:11:45.051896-04
           28 | 016_add_lofi_system.sql              | 2025-10-22 00:11:45.074246-04
           29 | 016_oauth_provider_system.sql        | 2025-10-22 00:11:45.113577-04
           30 | 017_payments_and_recruiting.sql      | 2025-10-22 00:11:45.133733-04
           31 | 018_model_council.sql                | 2025-10-22 00:11:45.207889-04
           32 | 019_autonomous_mode.sql              | 2025-10-22 00:11:45.263185-04
           33 | 020_platform_licensing.sql           | 2025-10-22 00:11:45.293788-04
           34 | 020_session_blocks.sql               | 2025-10-22 00:11:45.298601-04
           35 | 021_usage_based_pricing.sql          | 2025-10-22 00:11:45.300848-04
           36 | 022_add_user_profiles_system.sql     | 2025-10-22 00:11:45.303732-04
           37 | 023_add_model_versions_system.sql    | 2025-10-22 00:11:45.330132-04
           38 | 024_add_model_wrappers_system.sql    | 2025-10-22 00:11:45.355544-04
